id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24373913,Sasquatch’s Cozy Stay,67196252,Marissa,,Ward 1,44.9499,-123.02577,Private room,,1,117,2025-09-20,1.34,1,0,25,
24780208,Air conditioned Guest Cottage at Vista Manor,49073704,Elizabeth,,Ward 2,44.91033,-123.04212,Entire home/apt,112,1,706,2025-09-17,7.84,5,252,75,
30340285,Beautiful Suite Near Downtown & Bush Park,17219224,Caleb And Keely,,Ward 2,44.92394,-123.04143,Entire home/apt,76,30,61,2025-08-03,0.74,1,283,2,
30442754,"Willamette Valley Bungalow Salem,OR (Dog Friendly)",228558574,Aimee,,Ward 7,44.91849,-123.04551,Entire home/apt,111,2,156,2025-09-15,1.90,1,353,22,
31907842,Charming Third Story Suite w/ Separate Entrance,18601259,Jaqualine,,Ward 1,44.94718,-123.02315,Entire home/apt,,1,457,2025-08-23,5.73,1,0,62,
32018098,Oregon Winemakers Beautiful Colonial in Salem,240057378,Patricia,,Ward 8,44.9706,-123.07798,Entire home/apt,270,2,147,2025-09-22,1.89,1,330,14,
32133603,Creekside View - Large 2 Bedroom 2 Bath Condo,142420980,Amanda,,Ward 1,44.94525,-123.03162,Entire home/apt,125,30,350,2025-08-09,4.34,3,0,48,
33528630,The Garage,88052328,Shana,,Ward 1,44.9472,-123.02004,Entire home/apt,84,1,551,2025-09-21,7.07,1,300,94,
34158635,South Salem Spacious Room.,148795009,Evelyn,,Ward 2,44.92045,-123.03764,Private room,43,3,58,2025-09-08,0.75,2,344,5,
34604471,The Studio on Cottage,8255821,Krista,,Ward 1,44.94833,-123.02856,Entire home/apt,,2,76,2024-08-24,1.41,1,0,0,
36353518,A Cozy Place to Land,116540450,Jada,,Ward 2,44.93596,-123.00985,Entire home/apt,61,1,360,2025-09-21,10.84,1,198,143,
36806045,1941 Craftsman in Salem  w/ Private Backyard Patio,276655122,Kathie,,Ward 6,44.94848,-123.00479,Entire home/apt,161,1,194,2025-09-21,2.58,1,356,44,
38976509,The Bunkhouse,183514,Ruth,,Ward 1,44.94507,-123.01065,Entire home/apt,30,7,24,2024-05-31,0.34,1,143,0,
38980158,Charming stay near everything!,104054845,Jennifer,,Ward 2,44.92552,-123.03385,Private room,47,30,72,2025-07-20,1.04,4,36,18,
38981095,"Cozy, close in stay!",104054845,Jennifer,,Ward 2,44.92474,-123.03228,Private room,,30,63,2025-06-22,0.91,4,7,20,
39128949,The Mulberry House Mid-Century-Modern w/Views,283063,Robert,,Ward 7,44.91073,-123.06282,Entire home/apt,221,5,74,2025-09-15,1.05,2,145,13,
39736719,Mulberry Drive - Sunlight home with valley views.,283063,Robert,,Ward 7,44.91112,-123.06132,Entire home/apt,,5,0,,,2,0,0,
39969910,"Quiet Cozy Duplex, Great Location",20726798,Judy,,Ward 2,44.92886,-123.04466,Entire home/apt,99,2,138,2025-09-21,2.01,2,209,18,
40070743,Friends &  Family Peaceful  Palace Home,143942772,Timothy,,Ward 5,44.9628,-123.01897,Entire home/apt,136,2,162,2025-09-14,2.28,1,77,28,
40861468,Bombshell basement,27758890,Cassandra,,Ward 7,44.917,-123.05502,Entire home/apt,105,1,46,2025-08-05,0.67,1,144,11,
41338909,Englewood Loft,58210782,Heather,,Ward 1,44.94401,-123.01452,Entire home/apt,95,4,127,2025-09-15,1.85,1,74,15,
42472856,"Quaint room! Walk to hospital,downtown&WU",104054845,Jennifer,,Ward 2,44.92667,-123.03245,Private room,47,30,40,2025-08-22,0.72,4,65,4,
42796228,"Large Family Room, Perfect Home for the Holidays!",4923044,Matthew,,Ward 5,44.9525,-122.99252,Entire home/apt,,1,70,2023-02-27,1.04,1,0,0,
