id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17860056,Bar 3728,15081218,Linda,,Richmond,45.50646,-122.62555,Entire home/apt,74,4,185,2025-08-17,1.82,1,140,31,18-262196-000-00-HO
17866124,The Book House. Quiet Stay: Twin Bed with Balcony,42694776,Kim,,Portsmouth,45.58444,-122.72919,Private room,55,1,203,2025-08-13,1.99,2,350,28,21-041347-000-00-HO
17892496,Cozy studio Entire Floor w private bathroom,118070685,Robin,,Buckman,45.51413,-122.64311,Entire home/apt,81,2,431,2025-08-29,4.34,1,159,38,24ASTR-PER-00464
17904315,Basement Apartment in North Portland,12591253,Abby,,Arbor Lodge,45.57663,-122.69579,Entire home/apt,,1,178,2022-03-03,1.79,2,0,0,17-154795-000-00-HO
17937829,"Cozy Alley Cottage, Concordia/Alberta Arts, NE PDX",9180789,Helen,,Concordia,45.56753,-122.64162,Entire home/apt,95,2,333,2025-09-02,3.25,1,240,32,17-109949-000-00-HO
17966883,Concordia Fir Cabin,92867046,Patrick,,Concordia,45.56907,-122.63181,Entire home/apt,91,2,600,2025-09-04,5.91,1,221,53,17-143741-000-00-HO
17978703,Redwood House PDX,12223228,Aysu,,Richmond,45.50564,-122.63194,Entire home/apt,205,2,263,2025-08-17,2.60,1,4,23,17-148303-000-00-HO
18009756,Hawthorne Apartment w/ Jacuzzi Tub & Kitchen,28583708,Patricia Anne,,Richmond,45.50994,-122.6352,Entire home/apt,84,2,232,2025-08-24,2.50,2,295,21,17-219541-000-00-HO
18023616,2 Primary Suites*Hawthorne/Division Area!,1096266,TaMAra,,Richmond,45.50782,-122.61661,Entire home/apt,252,3,148,2025-08-17,1.45,5,213,26,17-178470-000-00-HO
18034741,"Bright, modern suite, close-in NE",2021272,Erik,,Humboldt,45.55857,-122.66723,Entire home/apt,71,2,596,2025-08-19,5.91,1,246,43,17-156260-000-00-HO
18074788,A tree house on a quiet street,17527121,Jesse,,Southwest Hills,45.50131,-122.69638,Entire home/apt,150,2,131,2025-05-24,1.33,1,124,2,17-157147-000-00-HO
18093210,Sellwood Garden Studio with Private Patio,32635358,Ellen Jean,,Sellwood-Moreland Improvement League,45.46162,-122.65416,Entire home/apt,47,31,302,2025-08-07,3.01,1,149,28,17-157041-000-00-HO
18094561,"Clean, Comfy, Modern Private Apartment",491984,Amy,,Concordia,45.55917,-122.63283,Entire home/apt,105,1,406,2025-09-03,4.05,1,273,64,17-197971-000-00-HO
18136463,Classic Garden Bungalow in Overlook near Eateries,11875534,Becca,,Overlook,45.56432,-122.68946,Entire home/apt,203,3,209,2025-08-06,2.79,2,55,32,19-264335-000-00-HO
18191700,ON Alberta Street: Private Loft w/ Rooftop!,109509841,Doug,,King,45.55918884277344,-122.65302276611328,Entire home/apt,108,30,371,2025-08-29,3.69,1,79,27,17-108575-000-00-CO
18256025,"Cozy, Convenient Sellwood Retreat",20395786,Julia,,Sellwood-Moreland Improvement League,45.47005,-122.65784,Entire home/apt,133,2,410,2025-09-01,4.15,1,229,50,17-174449-000-00-HO
18294608,Cozy Spa Sanctuary w/ Soaking Tub,126524556,Michael,,Richmond,45.50681,-122.63085,Entire home/apt,163,2,360,2025-08-31,3.56,1,321,34,17-156321-000-00-HO
18303786,5+ bed Artsy Bungalow Inner SE Portland,15063380,Jessica,,Creston-Kenilworth,45.4949,-122.61896,Entire home/apt,,30,11,2017-07-09,0.11,1,0,0,
18308578,Urban Oasis in Irvington/Walk to Convention Center,63559052,Dylan,,Eliot,45.5398,-122.6589,Private room,,30,122,2019-11-25,1.20,1,0,0,
18309571,The Nest/Portland.Peaceful.Fun,121923954,Steve,,Sunnyside,45.51646,-122.63268,Entire home/apt,99,1,498,2025-08-22,5.38,1,324,65,17-279177-000-00-HO
18333679,Hawthorne Division Food Drink Tabor Wonderland,9931242,Mindy,,Mt. Tabor,45.51142,-122.60809,Entire home/apt,84,2,487,2025-09-01,5.02,1,231,55,24ASTR-PER-00187
18357744,Pine Manor Suite | Stylish & Spacious 3 BR Apt,103138695,Heather,,Buckman,45.52006,-122.65075,Entire home/apt,125,2,167,2025-08-29,1.94,2,323,25,16-258777-000-00-LU
18375485,Valentina's Little Sister,127253367,Scott,,Hillside,45.52675,-122.70887,Entire home/apt,,3,225,2024-11-17,2.22,2,0,7,17-111589-000-00-HO
18379258,Historic Jacobberger House  Downtown Portland,12846561,Kerri,,Southwest Hills,45.50832,-122.68596,Entire home/apt,435,3,14,2024-05-28,0.14,3,270,0,16-132959-000-00-LU
18395206,Exceptional East Moreland Guesthouse/ Reed College,17292270,J'Aime,,Eastmoreland,45.4707,-122.6241,Entire home/apt,148,3,251,2025-08-25,2.47,1,317,24,17-156106-000-00-HO
18410518,Victorian Parlor Room. Permit# 24ASTR-PER-00491,56983408,Melanie,,Buckman,45.52097,-122.65415,Private room,68,2,347,2025-08-28,3.41,1,260,41,24ASTR-PER-00491
18433339,"Bright, Comfy Division / Hawthorne Basement Studio",53953234,Ryan,,Richmond,45.50639,-122.62028,Entire home/apt,85,2,337,2025-08-03,3.33,1,257,32,17-162810-000-00-HO
18434478,"Charming FoPo Retreat, Self Check-in!",127777784,Samantha,,Foster-Powell,45.49304,-122.59412,Private room,,30,129,2022-05-03,1.36,1,0,0,17-163703-000-00-HO
18447314,Beautifully Renovated 1910 Craftsman,77382200,Jennifer,,Richmond,45.50648,-122.62491,Entire home/apt,186,30,15,2018-04-05,0.15,3,217,0,
18449084,Best Location in Portland! THE View,57187286,Taariq,,South Portland,45.50509,-122.67605,Private room,,30,0,,,1,0,0,
18464402,"St. Johns neighborhood, privacy and comfort",48023979,John And Mary Ann,,St. Johns,45.59427,-122.75673,Private room,68,1,177,2025-09-03,1.77,1,240,27,21-028946-000-00-HO
18493925,Spacious Close-in Mt Tabor area Apartment,1332371,James,,Mt. Tabor,45.5065,-122.60324,Entire home/apt,89,31,20,2025-07-21,0.20,1,169,1,
18502484,"Private Duplex, Fast Internet, Walk To It All",2322279,Andy,,Buckman,45.51296,-122.64707,Entire home/apt,105,1,413,2025-08-28,4.11,1,118,37,17-178946-000-00-HO
18507317,/// Brand new studio / on MAX line to airport,14513978,Erica,,Rose City Park,45.53505,-122.59897,Entire home/apt,,2,287,2025-07-20,2.83,1,0,20,19-255053-000-00-HO
18565183,"Artistic, Quiet, Comfortable Portland home.",128887124,Kate,,University Park,45.5794,-122.71786,Private room,85,30,91,2023-11-08,0.90,1,365,0,
18565742,Glamorous Suite w/Round Bed in SE,10385699,Katrina,,Hosford-Abernethy,45.50462,-122.65304,Entire home/apt,148,2,194,2025-08-03,1.94,2,364,1,16-213922-000-00-HO
